Response;Submitted on:;Q16_KRITIK DAN SARAN;sentimen
345836;21/09/2025 01.06;Untuk servernya full dan error jadi agak susah saat mengerjakan;negatif
306420;17/09/2025 23.02;Sudah baik untuk tahun ini namun akan lebih baik jika di laksanakan secara langsung makasih banyak;positif
341608;20/09/2025 18.47;Tolong perbaiki website PPKMB sehingga lebih mudah dan cepat diakses;positif
293208;15/09/2025 20.21;Kegiatan PKKMB tahun ini menurut saya sudah berjalan baik dan memberikan banyak informasi penting bagi mahasiswa baru;positif
341272;20/09/2025 18.06;Semoga lebih baik;positif
294142;15/09/2025 22.57;Perbaiki lagi sistem websitenya agar ngga lemot;netral
346872;21/09/2025 02.18;kedepannya unpam semakin maju;netral
354138;21/09/2025 19.07;“Saya merasa kegiatan PKKMB sudah berjalan dengan baik, namun ada satu hal yang perlu ditingkatkan, yaitu masalah koneksi internet. Karena kegiatan ini diikuti banyak mahasiswa secara bersamaan, sering terjadi kendala jaringan yang membuat beberapa peserta tertinggal dalam menerima informasi. Akan lebih baik jika pihak kampus menyiapkan sistem pendukung, seperti server cadangan atau pembagian akses secara bergiliran, sehingga koneksi internet lebih lancar dan semua mahasiswa bisa mengikuti kegiatan dengan nyaman. Dengan begitu, materi PKKMB dapat tersampaikan secara maksimal.”;positif
316126;18/09/2025 23.38;tidak ada semua sudah bagus dan cukup;positif
294646;16/09/2025 00.03;materi yang disampaikan baik, dan jelas. dapat dimengerti dengan baik oleh maba. karena saya hanya mengikuti kegiatan yang online nya maka saya ada sedikit masukan untuk sistemnya lebih user friendly mengingat tidak semua maba adalah orang yang paham teknologi;positif
336956;20/09/2025 09.57;Perbaiki server spmb;positif
294458;15/09/2025 23.43;Tidak ada, pokoknya mantap buat unpam  unpam jaya jaya jaya;positif
300466;16/09/2025 21.36;Sangat Baik;positif
342980;20/09/2025 21.08;semoga kedepannya lebih baik dan terus berkembang;positif
321526;19/09/2025 12.56;Saya merasa kegiatan PKKMB UNPAM 2025 sangat bermanfaat karena membantu saya mengenal lingkungan kampus, dosen, dan berbagai fasilitas yang tersedia. Materi yang diberikan juga menarik serta relevan dengan kebutuhan mahasiswa baru, khususnya dalam memberikan motivasi untuk berprestasi dan aktif berorganisasi. Panitia dan kakak pendamping ramah serta komunikatif dalam membimbing peserta, sehingga suasana kegiatan terasa menyenangkan dan penuh semangat. Jadwal kegiatan tersusun dengan baik, diselingi ice breaking dan aktivitas kreatif yang membuat kami tidak cepat bosan. Secara keseluruhan, saya puas dengan pelaksanaan PKKMB tahun ini dan berharap kegiatan seperti ini dapat terus dilaksanakan dengan inovasi yang lebih baik setiap tahunnya.;positif
284424;12/09/2025 18.47;sudah cukup baik;positif
307768;18/09/2025 06.08;Saran saya berikan peneningkatan interaksi secara tatap muka karena banyaknya kendala terkait online pengarahan, Informasi yang detail, perbaiki masalah kendala online yang ada.;positif
319410;19/09/2025 08.56;Pakaian dan Atribut Wajib  -Pria: Kemeja putih lengan panjang, dasi hitam, celana kain hitam, ikat pinggang hitam, dan sepatu hitam.  - Wanita Berhijab: Kemeja putih lengan panjang, dasi hitam, rok kain hitam (tidak ketat), kerudung segi empat hitam polos, dan sepatu hitam.  - Ketentuan Tambahan: Tidak diperkenankan menggunakan pakaian berbahan jeans. Selama sesi online, Anda diwajibkan menggunakan virtual background yang sudah ditentukan dan mengaktifkan kamera (on camera).;positif
326604;19/09/2025 20.26;situs web lambat;negatif
322356;19/09/2025 14.19;Mungkin untuk karena saya semester 8, untuk maba maba baru yg belum merasakan problem dalam di pertengahan perjalan kuliah di unpam, lebih di maksimalkan lagi menjemennya. terutama untuk layanan administrasi. ;positif
299018;16/09/2025 17.51;PKKMB membantu beradaptasi dengan lingkungan kampus, dosen, serta sesama mahasiswa baru agar lebih cepat akrab.;positif
284772;12/09/2025 19.56;Keren sebenarnya, tinggal tambahin lagi pemateri yang bisa membangkitkan semangat mahasiswa untuk berprestasi;positif
312472;18/09/2025 17.08;Min saya udah excited nyiapin outfit buat PKKMB tapi ternyata jadinya PKKMB Online :(. tapi icokey semangat saya untuk kuliah di Unpam tidak berkurang sedikitpun xixixi. lop u Unpam  Unpam Jaya Jaya Jaya;netral
291744;15/09/2025 16.37;Tidak ada admin yang bisa menjelaskan teknis pkkmb online untuk mahasiswa lama terlalu banyak registrasi atau daftar jika ingin ikut pkkmb online ;positif
315084;18/09/2025 22.01;Untuk kedepannya semoga pkkmb lebik Baik lagi.;positif
305328;17/09/2025 20.58;mohon informasinya lebih jelas lagi terimakasih;netral
342538;20/09/2025 20.23;Kegiatan pkkmb sangat bermanfaat untuk mahasiswa baru saling mengenal dan mempelajari tata krama di kampus unpam.;positif
287532;13/09/2025 13.53;Sudah cukup baik dan memuaskan pokoknya keren semoga tahun berikutnya bisa lebih keren lagi;positif
301512;17/09/2025 12.50;PKKmb kali ini sangat luar biasa karena bisa lewat online ;positif
309772;18/09/2025 12.11;Semuanya sudah bagus;positif
292700;15/09/2025 18.56;Semoga kedepannya web spmb unpam bisa lebih diperbaiki jaringannya, agar tidak gangguan terus, terimakasih🙏🏽;positif
289376;15/09/2025 09.55;untuk mahasiswa lama yang mendaftar pkkmb ulang jangan bikin vid lagi pls, jawab soal ajaa;netral
297268;16/09/2025 13.28;Keseluruhan penjelasan melalui youtube jelas dan bagus;positif
328886;19/09/2025 23.12;Baguss tpi mohon next nya lebih cepat ya susah bgt mau login aja huhu. Terimakasih ;positif
328890;19/09/2025 23.12;Baguss tpi mohon next nya lebih cepat ya susah bgt mau login aja huhu. Terimakasih ;positif
350412;21/09/2025 09.50;mohon perbaiki kelancaran untuk mengakses website spmb unpam agar mahasiswa dapat dengan lancar mengupload tugas;positif
338324;20/09/2025 12.25;Terima kasih;netral
289926;15/09/2025 11.37;Untuk online semoga tidak sesukit itu servernya ;netral
354946;21/09/2025 23.34;mungkin pada web spmb bisa di upgrade kembali, karena kmrn pada saat akses terjadi kelambatan pada saat ingin meng update ;negatif
299748;16/09/2025 20.01;KEREN.;positif
299764;16/09/2025 20.02;semoga kedepannya bisa lebih baik lagi unpam!;positif
311852;18/09/2025 16.09;tolong perbaiki sistem spmb, ngelag banget, dan juga kenapa maba priority, dimana pancasila nomor 5. ;netral
282092;12/09/2025 10.10;ACARA PKKMB SUDAH BAGUS TAPI NEXT TOLONG UNTUK MABA UNTUK MEMBUAT NAMETAQ JANGAN TALI PITA LAGI, TERIMA KASIH;positif
354782;21/09/2025 22.36;Sudah cukup bagus;positif
284178;12/09/2025 17.45;Menurut saya, kegiatan PKKMB UNPAM sudah sangat baik karena membantu mahasiswa baru mengenal kampus, budaya akademik, serta menumbuhkan rasa kebersamaan. Namun, akan lebih menarik jika kegiatan dibuat lebih interaktif dengan tambahan game edukatif, sharing session bersama alumni, dan praktik langsung penggunaan sistem kampus. Saya berharap PKKMB UNPAM ke depan semakin inspiratif, interaktif, serta mampu memotivasi mahasiswa baru untuk berprestasi dan bangga menjadi bagian dari UNPAM;positif
298082;16/09/2025 15.29;bagus;positif
304728;17/09/2025 19.47;tetap semangat pantang menyerah;netral
310256;18/09/2025 13.08;Sangat bagus, unpam jaya jaya jaya;positif
343982;20/09/2025 22.39;Lebih tertib;positif
286852;13/09/2025 11.30;acara jangan terlalu lama;netral
292130;15/09/2025 17.33;Alangkah baiknya jika memang dilaksanakan secara online sistemnya harus benar-benar diperhatikan lagi agar meminimalisir kendala untuk mengakses web nya.   Terimakasih 🙏🏻;netral
338872;20/09/2025 13.27;Semoga Kedepannya PKKMB dijadikan oflline secara keseluruhan terimakasih ;netral
338896;20/09/2025 13.31;Semoga Kedepannya PKKMB dijadikan oflline secara keseluruhan terimakasih ;netral
339164;20/09/2025 14.00;Untuk kegiatan pkkmb ini website nya sangat sulit di akses, jd susah untuk mengerjakan taks taks yang ada;negatif
337600;20/09/2025 10.56;tidak ada masukkan, karna pkkmb tahun ini sudah sangat bagus dan menarik.;positif
293316;15/09/2025 20.40;Terimakasih ;netral
347290;21/09/2025 02.55;sudah sangat baik ;positif
351182;21/09/2025 11.04;Link nya suka down;positif
344098;20/09/2025 22.49;Semoga webnya bisa diperbaiki lagi agar tidak slalu error ;netral
334672;20/09/2025 06.28;Kurang menarik;netral
312328;18/09/2025 16.57;kegiatan ini sudah baik, namun harus lebih diperhatikan lagi waktu dan tempatnya. agar tidak bentrok dengan hal lainnya.;positif
326548;19/09/2025 20.22;saat melakukan pkkmb online, website ini loading nya lama. berharap, website spmb untuk PKKMB ini bisa lebih cepat saat di akses.;positif
329406;19/09/2025 23.48;memberikan informasi lebih detail mengenai kampus untuk mahasiswa ;positif
290116;15/09/2025 12.04;PKKMB UNPAM tiap tahun ke tahun selalu keren dan seru abiszz;positif
289652;15/09/2025 10.54;Kedepannya lebih menarik apabila didatangkan para alumni yang sudah sukses sehingga nantinya bisa jadi motivasi terhadap mahasiswa mahasiswa baru.  Terimakasih;positif
354278;21/09/2025 19.39;semoga untuk mahasiswa yng tbtb nonaktif karna gapunya duit buat lanjutin diberi kemmudahan oleh pihak kampus untuk segera melanjutkan studinya dengam diberi bantuan dari internal unpam sendiri apalago yng tidak punya kip;positif
282224;12/09/2025 10.51;Menarik;positif
339436;20/09/2025 14.38;Teruskan;netral
309550;18/09/2025 11.45;Sudahhh kerenn dan sangat bagus.  Materi yang diberikan sangat jelas dan sangat lengkap memudahkan mahasiswa untuk memahaminya.  Masukan nya : Untuk kedepannya selalu lebih baik dari tahun tahun sebelumnya;positif
348776;21/09/2025 06.54;Kedepannya bisa lebih baik lagi untuk servernya ;positif
311588;18/09/2025 15.41;Kegiatan yang sangat mengesankan bagi mahasiswa;netral
340722;20/09/2025 17.01;Pelaksanaan PKKMB UNPAM menurut saya sudah cukup baik karena memberikan banyak informasi penting mengenai kehidupan kampus serta aturan yang berlaku. Namun, sebagai masukan, kegiatan ini bisa lebih dikembangkan lagi dengan menambahkan sesi interaktif, seperti diskusi, permainan edukatif, atau sharing pengalaman dari alumni maupun kakak tingkat. Dengan begitu, mahasiswa baru akan lebih mudah memahami materi, merasa terlibat secara aktif, dan lebih cepat beradaptasi dengan lingkungan kampus.;positif
340732;20/09/2025 17.02;Pelaksanaan PKKMB UNPAM menurut saya sudah cukup baik karena memberikan banyak informasi penting mengenai kehidupan kampus serta aturan yang berlaku. Namun, sebagai masukan, kegiatan ini bisa lebih dikembangkan lagi dengan menambahkan sesi interaktif, seperti diskusi, permainan edukatif, atau sharing pengalaman dari alumni maupun kakak tingkat. Dengan begitu, mahasiswa baru akan lebih mudah memahami materi, merasa terlibat secara aktif, dan lebih cepat beradaptasi dengan lingkungan kampus.;positif
327456;19/09/2025 21.30;Untuk pkkmb pada tahun ini sangat meriah dan narasumber yang cukup menginspirasi sekali semoga di pkkmb selanjutnya bisa di tingkatkan lagi ;positif
315318;18/09/2025 22.23;next harus di tambahkan lebih kreatif lagi dalam pembuatan vidio biar makin keren;positif
284312;12/09/2025 18.23;Pengenalan kampus cukup bagus sangat menarik dan penjelasan materi dari para dosen sangat mudah di pahami.;positif
340578;20/09/2025 16.47;Memudahkan bagi mahasiswa yang baru untuk lebiu mengenal kampus, serta kegiatan lainnya;positif
294062;15/09/2025 22.46;Cukup;netral
320820;19/09/2025 11.23;Memberikan wawasan yang baik dan membuka pikiran kita lebih luas lagi;positif
344914;20/09/2025 23.49;untuk kedepan nya untuk melancarkan kegiatan kuliah ini perlu ada nya sinyal yang mendukung seperti wifi, tapi jelas harus wifi yang berkualitas baik agar kegiatan perkuliahan ini bisa lebih mudah dan canggih baik bagi mahasiswa mauoun dosen.;positif
344916;20/09/2025 23.49;untuk kedepan nya untuk melancarkan kegiatan kuliah ini perlu ada nya sinyal yang mendukung seperti wifi, tapi jelas harus wifi yang berkualitas baik agar kegiatan perkuliahan ini bisa lebih mudah dan canggih baik bagi mahasiswa mauoun dosen.;positif
344918;20/09/2025 23.49;untuk kedepan nya untuk melancarkan kegiatan kuliah ini perlu ada nya sinyal yang mendukung seperti wifi, tapi jelas harus wifi yang berkualitas baik agar kegiatan perkuliahan ini bisa lebih mudah dan canggih baik bagi mahasiswa mauoun dosen.;positif
344920;20/09/2025 23.49;untuk kedepan nya untuk melancarkan kegiatan kuliah ini perlu ada nya sinyal yang mendukung seperti wifi, tapi jelas harus wifi yang berkualitas baik agar kegiatan perkuliahan ini bisa lebih mudah dan canggih baik bagi mahasiswa mauoun dosen.;positif
344922;20/09/2025 23.50;untuk kedepan nya untuk melancarkan kegiatan kuliah ini perlu ada nya sinyal yang mendukung seperti wifi, tapi jelas harus wifi yang berkualitas baik agar kegiatan perkuliahan ini bisa lebih mudah dan canggih baik bagi mahasiswa mauoun dosen.;positif
344924;20/09/2025 23.50;untuk kedepan nya untuk melancarkan kegiatan kuliah ini perlu ada nya sinyal yang mendukung seperti wifi, tapi jelas harus wifi yang berkualitas baik agar kegiatan perkuliahan ini bisa lebih mudah dan canggih baik bagi mahasiswa mauoun dosen.;positif
344928;20/09/2025 23.50;untuk kedepan nya untuk melancarkan kegiatan kuliah ini perlu ada nya sinyal yang mendukung seperti wifi, tapi jelas harus wifi yang berkualitas baik agar kegiatan perkuliahan ini bisa lebih mudah dan canggih baik bagi mahasiswa mauoun dosen.;positif
295012;16/09/2025 01.11;Semoga acaranya lebih interaktif agar mahasiswa baru lebih mudah kenal teman dan lingkungan kampus;positif
344724;20/09/2025 23.37;PKKMB SUDAH BERJALAN DENGAN BAIK DAN SUKSES;positif
298226;16/09/2025 15.50;semakin keren dan dan inovasi;positif
297262;16/09/2025 13.28;Sangat bagus dan menarik dan semoga kedepanya bisa lebih baik lagi dari yang sebelum sebelum nya;positif
287930;13/09/2025 15.17;masukan saya sebagai peserta pkkmb online adalah untuk terus diperbarui sistem atau server spmb karena kadang kita mahasiswa suka panik kalau tidak bisa padahal sudah sesuai prosedur, mohon selalu ditingkatkan ya kualitasnya.;positif
346170;21/09/2025 01.27;keren sekali;positif
320422;19/09/2025 10.42;Bagus;positif
285124;12/09/2025 21.18;Untuk PKKMB Online khusus untuk Mahasiswa Lama tolong jangan di persulit ;negatif
333100;20/09/2025 04.36;Berikan tutorial praktis tentang cara menggunakan sistem akademik dan teknologi kampus, termasuk mengatasi masalah teknis yang sering terjadi, seperti error pada web. Ini dapat membantu mahasiswa baru lebih siap dan percaya diri dalam menggunakan teknologi kampus.;netral
344492;20/09/2025 23.18;sangat cukup baik;positif
339852;20/09/2025 15.32;kegiatan yang sangat bermanfaat;positif
339936;20/09/2025 15.41;sangat bermanfaat ;positif
